# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (m/s),Total acceleration (G),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (mm),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,3.9418,0,3.942,0,0,0,0,0,0.0344,40,-100,0.99902,89.5,0,0,0,298.41,31.912,0.0078331,3.6449e-5,NaN,292.08,NaN,0.014698,147496,14.459,7.5029e-9,0.61652,1.0248e-6,0.49559,8.9879e-4,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,27,5.7256e-4,89.5,0,NaN,5.25,845.56,334.48,0.01,0.0015711
0.01,0.0019328,0.38656,13.362,0.38658,13.363,1.6867e-5,0,1.6867e-5,0,0.0033735,0.11661,40,-100,0.99902,84.888,0,0,0,298.41,31.912,0.0078331,3.6449e-5,NaN,292.08,NaN,0.014372,144226,42.028,7.3349e-6,0.61925,0.0010478,0.49832,8.9852e-4,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4042e-6,27,5.7256e-4,89.5,0,NaN,5.25,845.56,334.48,0.01,0.001907
0.02,0.012353,1.6976,19.463,1.6977,19.464,1.078e-4,0,1.078e-4,0,0.014815,0.16985,40,-100,0.99902,69.543,0,0,0,298.23,31.727,0.0078279,3.6436e-5,NaN,291.97,NaN,0.014871,149225,59.846,4.1661e-4,0.61511,0.055594,0.49418,8.9893e-4,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9342e-5,27,5.7256e-4,89.5,0,NaN,5.2499,845.56,334.48,0.01,0.0021689
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.038878,3.6076,15.943,3.6077,15.944,3.3928e-4,0,3.3928e-4,0,0.031483,0.13914,40,-100,0.99902,51.176,0,0,0,298,31.504,0.0078216,3.642e-5,NaN,291.85,NaN,0.017393,174536,49.517,0.0028765,0.59672,0.28059,0.47578,9.012e-4,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1102e-5,27,5.7256e-4,89.5,0,NaN,5.2497,845.56,334.48,0.01,0.0023778
0.04,0.082776,5.1722,11.809,5.1724,11.809,7.2237e-4,0,7.2237e-4,0,0.045137,0.10305,40,-100,0.99902,40.206,0,0,0,297.74,31.242,0.0078142,3.6401e-5,NaN,291.71,NaN,0.020398,204696,37.404,0.0065813,0.57905,0.46674,0.45809,9.0436e-4,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8928e-5,27,5.7256e-4,89.5,0,NaN,5.2495,845.55,334.48,0.01,0.0025743
0.05,0.14029,6.3312,9.2002,6.3314,9.2005,0.0012243,0,0.0012243,0,0.055251,0.080289,40,-100,0.99902,33.881,0,0,0,297.47,30.967,0.0078064,3.6381e-5,NaN,291.55,NaN,0.022935,230148,29.764,0.010105,0.56668,0.56688,0.4457,9.0743e-4,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2132e-5,27,5.7256e-4,89.5,0,NaN,5.2491,845.55,334.48,0.01,0.0028461
0.06,0.20812,7.234,8.9633,7.2342,8.9636,0.0018162,0,0.0018162,0,0.06313,0.078221,40,-100,0.99902,30.65,0,0,0,297.24,30.744,0.0078001,3.6365e-5,NaN,291.43,NaN,0.025271,253590,29.054,0.013141,0.55682,0.60722,0.43582,9.1057e-4,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2418e-5,27,5.7256e-4,89.5,0,NaN,5.2486,845.54,334.48,0.01,0.0030616
0.07,0.28485,8.1134,9.3082,8.1137,9.3085,0.0024859,0,0.0024859,0,0.070804,0.081231,40,-100,0.99902,28.04,0,0,0,297.07,30.571,0.0077952,3.6352e-5,NaN,291.33,NaN,0.027612,277080,30.045,0.016363,0.5481,0.63334,0.42709,9.1402e-4,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2437e-5,27,5.7256e-4,89.5,0,NaN,5.2481,845.53,334.48,0.01,0.0032497
0.08,0.37055,9.0266,9.6534,9.027,9.6538,0.0032338,0,0.0032338,0,0.078774,0.084244,40,-100,0.99902,25.759,0,0,0,296.89,30.397,0.0077902,3.634e-5,NaN,291.23,NaN,0.030093,301968,31.036,0.019961,0.53989,0.65049,0.41885,9.1801e-4,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0284e-4,27,5.7256e-4,89.5,0,NaN,5.2476,845.52,334.48,0.01,0.003491
